Suburb,Address,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseID,DaySold,MonthSold,YearSold,Schools nearby
Footscray,1a Leander St,2,h,716000.0,S,Ray,6.4,3011.0,2.0,1.0,2.0,274.0,275.0,2000.0,Maribyrnong City Council,-37.7939,144.8846,Western Metropolitan,7570.0,4500,30,7,2016,7
Glen Iris,6 Beatrice St,3,h,1735000.0,S,hockingstuart,9.2,3146.0,3.0,2.0,3.0,680.0,170.0,1935.0,Boroondara City Council,-37.854,145.0832,Southern Metropolitan,10412.0,4501,3,9,2016,6
Glen Iris,11 Vincent St,4,h,3400000.0,VB,Kay,9.2,3146.0,4.0,3.0,2.0,856.0,265.0,1920.0,Boroondara City Council,-37.8628,145.0436,Southern Metropolitan,10412.0,4505,3,9,2016,6
Glen Iris,2 Vincent St,5,h,3730000.0,PI,Abercromby's,9.2,3146.0,4.0,3.0,2.0,919.0,353.0,1925.0,Boroondara City Council,-37.8637,145.0438,Southern Metropolitan,10412.0,4506,3,9,2016,6
Glen Iris,28 Alfred Rd,4,h,1800000.0,VB,Marshall,9.2,3146.0,4.0,2.0,2.0,868.0,217.0,1930.0,Boroondara City Council,-37.8522,145.0893,Southern Metropolitan,10412.0,4507,3,12,2016,6
Glen Iris,62 Staughton Rd,4,h,1998000.0,S,J,9.2,3146.0,4.0,2.0,1.0,739.0,183.0,2002.0,Boroondara City Council,-37.8513,145.0601,Southern Metropolitan,10412.0,4513,3,12,2016,6
Glen Iris,4/58 Bath Rd,2,u,671000.0,S,Noel,9.2,3146.0,2.0,1.0,1.0,0.0,85.0,1960.0,Boroondara City Council,-37.8555,145.0889,Southern Metropolitan,10412.0,4514,4,3,2017,6
Glen Iris,2/11 Peace St,3,h,1425000.0,S,Marshall,9.2,3146.0,3.0,2.0,2.0,217.0,163.0,2006.0,Boroondara City Council,-37.8639,145.0641,Southern Metropolitan,10412.0,4520,4,3,2017,6
Glen Iris,48 Alfred Rd,3,h,1530000.0,S,Jellis,9.2,3146.0,3.0,1.0,1.0,753.0,118.0,1940.0,Boroondara City Council,-37.8543,145.0889,Southern Metropolitan,10412.0,4523,4,6,2016,6
Glen Iris,3 Bridges St,4,h,1900000.0,PI,Jellis,9.2,3146.0,4.0,4.0,2.0,708.0,323.0,1985.0,Boroondara City Council,-37.8646,145.0673,Southern Metropolitan,10412.0,4524,4,6,2016,6
Glen Iris,6 Chester St,3,h,1360000.0,PI,Fletchers,9.2,3146.0,3.0,2.0,1.0,704.0,134.0,1940.0,Boroondara City Council,-37.852,145.0942,Southern Metropolitan,10412.0,4529,4,6,2016,6
Glen Iris,56 Gardiner Pde,5,h,2175000.0,S,Fletchers,9.2,3146.0,5.0,3.0,4.0,619.0,327.0,2003.0,Boroondara City Council,-37.8554,145.0611,Southern Metropolitan,10412.0,4531,4,6,2016,6
Glen Iris,22 Renwick St,4,h,2325000.0,PI,Marshall,9.2,3146.0,4.0,3.0,2.0,638.0,314.0,1930.0,Boroondara City Council,-37.8523,145.0726,Southern Metropolitan,10412.0,4534,4,6,2016,6
Glen Iris,10 Hazeldine Rd,4,h,2538000.0,S,Marshall,9.2,3146.0,4.0,2.0,3.0,630.0,314.0,2000.0,Boroondara City Council,-37.856,145.0691,Southern Metropolitan,10412.0,4537,6,8,2016,6
Glen Iris,1 Montana St,4,h,2300000.0,VB,Jellis,9.2,3146.0,4.0,3.0,4.0,1258.0,254.0,1941.0,Boroondara City Council,-37.8552,145.082,Southern Metropolitan,10412.0,4539,6,8,2016,6
Glen Iris,1/23 Aintree Rd,2,u,550000.0,SP,Jellis,9.2,3146.0,2.0,1.0,1.0,0.0,63.0,1968.0,Boroondara City Council,-37.8567,145.0435,Southern Metropolitan,10412.0,4540,7,5,2016,6
Glen Iris,6 Chester St,3,h,1600000.0,VB,Fletchers,9.2,3146.0,3.0,2.0,1.0,704.0,134.0,1940.0,Boroondara City Council,-37.852,145.0942,Southern Metropolitan,10412.0,4541,7,5,2016,6
Glen Iris,48 Martin Rd,3,h,2115000.0,S,Jellis,9.2,3146.0,4.0,2.0,2.0,745.0,157.0,1920.0,Boroondara City Council,-37.8501,145.059,Southern Metropolitan,10412.0,4545,7,5,2016,6
Glen Iris,73 Pascoe St,3,h,1700000.0,S,Jellis,9.2,3146.0,3.0,2.0,2.0,625.0,188.0,1951.0,Boroondara City Council,-37.8602,145.0925,Southern Metropolitan,10412.0,4546,7,5,2016,6
Glen Iris,192 Tooronga Rd,4,h,2077000.0,S,RT,9.2,3146.0,4.0,2.0,3.0,553.0,143.0,1910.0,Boroondara City Council,-37.8589,145.0413,Southern Metropolitan,10412.0,4553,7,11,2016,6
Glen Iris,34 Yeovil Rd,4,h,2850000.0,S,Jellis,9.2,3146.0,4.0,3.0,2.0,1184.0,305.0,1935.0,Boroondara City Council,-37.8526,145.0848,Southern Metropolitan,10412.0,4554,7,11,2016,6
Glen Iris,7/69 Edgar St N,2,u,411000.0,SP,Noel,9.2,3146.0,2.0,1.0,1.0,0.0,65.0,1970.0,Boroondara City Council,-37.85,145.0461,Southern Metropolitan,10412.0,4557,8,10,2016,6
Glen Iris,51 Dent St,4,h,2020000.0,PI,Marshall,9.2,3146.0,4.0,2.0,2.0,630.0,351.0,2009.0,Boroondara City Council,-37.8667,145.0752,Southern Metropolitan,10412.0,4566,10,9,2016,6
Glen Iris,5 Charles St,4,h,2010000.0,S,Marshall,9.2,3146.0,4.0,2.0,2.0,659.0,212.0,1930.0,Boroondara City Council,-37.8509,145.0916,Southern Metropolitan,10412.0,4576,10,12,2016,6
Glen Iris,26 Gardiner Pde,4,h,2975000.0,S,Marshall,9.2,3146.0,4.0,3.0,4.0,0.0,30.0,1930.0,Boroondara City Council,-37.8541,145.0643,Southern Metropolitan,10412.0,4579,10,12,2016,6
Glen Iris,1/39 Scott Gr,1,u,452000.0,S,RT,9.2,3146.0,1.0,1.0,1.0,63.0,52.0,1980.0,Boroondara City Council,-37.8552,145.05,Southern Metropolitan,10412.0,4584,10,12,2016,6
Glen Iris,56 Brandon St,3,h,1820000.0,S,Jellis,9.2,3146.0,3.0,1.0,3.0,650.0,136.0,1930.0,Boroondara City Council,-37.8571,145.0766,Southern Metropolitan,10412.0,4590,12,11,2016,6
Glen Iris,1/6 Edgar St,1,u,291000.0,PI,hockingstuart,9.2,3146.0,1.0,1.0,1.0,1097.0,38.0,1982.0,Boroondara City Council,-37.8576,145.0452,Southern Metropolitan,10412.0,4592,12,11,2016,6
Glen Iris,20 Howitt St,4,h,2376000.0,S,Jellis,9.2,3146.0,4.0,2.0,2.0,652.0,230.0,1925.0,Boroondara City Council,-37.8479,145.0557,Southern Metropolitan,10412.0,4596,12,11,2016,6
Glen Iris,22 Wills St,3,h,1456000.0,SP,Jellis,9.2,3146.0,3.0,1.0,2.0,504.0,142.0,1920.0,Boroondara City Council,-37.8541,145.0544,Southern Metropolitan,10412.0,4602,12,11,2016,6
Glen Iris,11/63 Edgar St N,1,t,345000.0,PI,Jellis,9.2,3146.0,1.0,1.0,1.0,745.0,44.0,1970.0,Boroondara City Council,-37.8505,145.0459,Southern Metropolitan,10412.0,4610,14,5,2016,6
Glen Iris,16 Flowerdale Rd,5,h,2000000.0,PI,Marshall,9.2,3146.0,5.0,3.0,1.0,696.0,248.0,1920.0,Boroondara City Council,-37.8563,145.0709,Southern Metropolitan,10412.0,4611,14,5,2016,6
Glen Iris,10 Bardolph St,2,t,585000.0,S,Jellis,9.2,3146.0,2.0,1.0,1.0,84.0,84.0,1960.0,Boroondara City Council,-37.8517,145.0796,Southern Metropolitan,10412.0,4618,15,10,2016,6
Glen Iris,67 Celia St,4,h,1700000.0,PI,Fletchers,9.2,3146.0,4.0,3.0,1.0,650.0,266.0,1946.0,Boroondara City Council,-37.8581,145.078,Southern Metropolitan,10412.0,4620,15,10,2016,6
Glen Iris,2/67 Staughton Rd,3,h,1375000.0,S,Marshall,9.2,3146.0,3.0,2.0,2.0,328.0,176.0,1990.0,Boroondara City Council,-37.8529,145.0605,Southern Metropolitan,10412.0,4629,15,10,2016,6
Glen Iris,56 Wills St,2,h,920000.0,S,Fletchers,9.2,3146.0,2.0,1.0,2.0,334.0,115.0,1930.0,Boroondara City Council,-37.8577,145.0576,Southern Metropolitan,10412.0,4631,15,10,2016,6
Glen Iris,1/38 Edgar St,2,u,382000.0,SP,hockingstuart,9.2,3146.0,2.0,1.0,1.0,1069.0,33.0,1960.0,Boroondara City Council,-37.8547,145.0457,Southern Metropolitan,10412.0,4637,16,7,2016,6
Glen Iris,1597 Malvern Rd,2,h,1280000.0,S,Noel,9.2,3146.0,2.0,1.0,1.0,412.0,123.0,1950.0,Boroondara City Council,-37.8541,145.051,Southern Metropolitan,10412.0,4641,16,7,2016,6
Glen Iris,116 High St,5,h,2825000.0,PI,Jellis,9.2,3146.0,5.0,4.0,4.0,802.0,206.0,2013.0,Boroondara City Council,-37.8627,145.0719,Southern Metropolitan,10412.0,4646,17,9,2016,6
Glen Iris,1 Maitland St,3,h,2825000.0,S,Jellis,9.2,3146.0,4.0,2.0,4.0,885.0,217.0,1910.0,Boroondara City Council,-37.8577,145.0421,Southern Metropolitan,10412.0,4647,17,9,2016,6
Glen Iris,27 Sunhill Rd,4,h,1825000.0,S,RT,9.2,3146.0,3.0,3.0,2.0,366.0,26.0,1999.0,Boroondara City Council,-37.8503,145.0586,Southern Metropolitan,10412.0,4649,17,9,2016,6
Glen Iris,33 Rosedale Rd,5,h,3085000.0,S,Marshall,9.2,3146.0,5.0,3.0,3.0,778.0,326.0,2000.0,Boroondara City Council,-37.8582,145.0715,Southern Metropolitan,10412.0,4656,18,3,2017,6
Glen Iris,17 Rosedale Rd,2,h,1600000.0,PI,Noel,9.2,3146.0,2.0,2.0,2.0,718.0,184.0,1950.0,Boroondara City Council,-37.858,145.0696,Southern Metropolitan,10412.0,4668,18,6,2016,6
Glen Iris,3 Florence St,5,h,2352500.0,PI,Marshall,9.2,3146.0,5.0,3.0,2.0,642.0,336.0,1930.0,Boroondara City Council,-37.859,145.0656,Southern Metropolitan,10412.0,4673,19,11,2016,6
Glen Iris,23 Flowerdale Rd,5,h,3860000.0,S,Marshall,9.2,3146.0,5.0,4.0,2.0,830.0,520.0,2009.0,Boroondara City Council,-37.8563,145.072,Southern Metropolitan,10412.0,4674,19,11,2016,6
Glen Iris,31 Gardiner Pde,4,h,2625000.0,PI,Marshall,9.2,3146.0,4.0,3.0,2.0,840.0,326.0,1930.0,Boroondara City Council,-37.8538,145.0641,Southern Metropolitan,10412.0,4675,19,11,2016,6
Glen Iris,98 Bath Rd,4,h,1950000.0,SP,Marshall,9.2,3146.0,4.0,2.0,2.0,775.0,155.0,1960.0,Boroondara City Council,-37.8561,145.0934,Southern Metropolitan,10412.0,4690,25,2,2017,6
Glen Iris,28 Ferndale Rd,3,h,2200000.0,S,Marshall,9.2,3146.0,3.0,1.0,2.0,700.0,142.0,1930.0,Boroondara City Council,-37.8553,145.0711,Southern Metropolitan,10412.0,4691,25,2,2017,6
Glen Iris,32 Howie St,3,h,1751000.0,S,Jellis,9.2,3146.0,3.0,1.0,3.0,609.0,140.0,1930.0,Boroondara City Council,-37.8542,145.0733,Southern Metropolitan,10412.0,4692,25,2,2017,6
Glen Iris,22 Kyarra Rd,4,h,1857000.0,S,Kay,9.2,3146.0,4.0,2.0,3.0,548.0,205.0,1930.0,Boroondara City Council,-37.8536,145.0547,Southern Metropolitan,10412.0,4693,25,2,2017,6
Glen Iris,4/15 Rix St,2,u,720000.0,VB,Jellis,9.2,3146.0,2.0,1.0,2.0,0.0,74.0,1940.0,Boroondara City Council,-37.8468,145.0515,Southern Metropolitan,10412.0,4696,25,2,2017,6
Glen Iris,8 Rix St,3,h,1500000.0,S,RT,9.2,3146.0,3.0,1.0,3.0,401.0,107.0,1935.0,Boroondara City Council,-37.8471,145.051,Southern Metropolitan,10412.0,4697,25,2,2017,6
Glen Iris,78 Valley Pde,4,h,2725000.0,S,Marshall,9.2,3146.0,4.0,3.0,2.0,603.0,246.0,2007.0,Boroondara City Council,-37.8521,145.0657,Southern Metropolitan,10412.0,4699,25,2,2017,6
Glen Iris,1687 Malvern Rd,3,h,2800000.0,S,Greg,9.2,3146.0,3.0,1.0,2.0,762.0,153.0,1930.0,Boroondara City Council,-37.8575,145.0554,Southern Metropolitan,10412.0,4702,26,7,2016,6
Glen Iris,21 Beatrice St,3,h,1665000.0,S,hockingstuart,9.2,3146.0,3.0,1.0,2.0,685.0,143.0,1941.0,Boroondara City Council,-37.8538,145.0842,Southern Metropolitan,10412.0,4703,27,6,2016,6
Glen Iris,8/251 Burke Rd,2,u,600000.0,S,hockingstuart,9.2,3146.0,2.0,1.0,1.0,0.0,80.0,1960.0,Boroondara City Council,-37.8555,145.0518,Southern Metropolitan,10412.0,4704,27,6,2016,6
Glen Iris,60 Madeline St,3,h,1420000.0,S,Buxton,9.2,3146.0,3.0,1.0,2.0,615.0,607.0,1940.0,Boroondara City Council,-37.8578,145.0919,Southern Metropolitan,10412.0,4706,27,6,2016,6
Glen Iris,14 Queens Pde,5,h,2410000.0,PI,Marshall,9.2,3146.0,5.0,2.0,2.0,654.0,354.0,2015.0,Boroondara City Council,-37.8515,145.0922,Southern Metropolitan,10412.0,4716,27,11,2016,6
Glen Iris,30 Valley Pde,4,h,2100000.0,PI,Marshall,9.2,3146.0,4.0,2.0,2.0,645.0,216.0,1930.0,Boroondara City Council,-37.8516,145.061,Southern Metropolitan,10412.0,4720,27,11,2016,6
Glen Iris,15 Yeovil Rd,4,h,2950000.0,S,Kay,9.2,3146.0,4.0,2.0,2.0,1485.0,295.0,1966.0,Boroondara City Council,-37.8509,145.0856,Southern Metropolitan,10412.0,4722,27,11,2016,6
Glen Iris,3 Fairview Gr,5,h,3365000.0,S,RT,9.2,3146.0,5.0,2.0,2.0,1339.0,270.0,1925.0,Boroondara City Council,-37.8649,145.0547,Southern Metropolitan,10412.0,4725,28,5,2016,6
Glen Iris,24 Brandon St,3,h,1931000.0,S,Jellis,9.2,3146.0,3.0,2.0,2.0,648.0,193.0,1975.0,Boroondara City Council,-37.8547,145.0771,Southern Metropolitan,10412.0,4732,28,8,2016,6
Glen Iris,318 Tooronga Rd,2,h,1250000.0,S,Marshall,9.2,3146.0,2.0,1.0,2.0,438.0,107.0,1910.0,Boroondara City Council,-37.8511,145.0428,Southern Metropolitan,10412.0,4735,28,8,2016,6
Glen Iris,35 Adrian St,5,h,2400000.0,VB,Jellis,9.2,3146.0,5.0,3.0,2.0,709.0,672.0,1930.0,Boroondara City Council,-37.8529,145.0806,Southern Metropolitan,10412.0,4736,30,7,2016,6
Glenroy,89 John St,3,h,610000.0,S,Ray,13.0,3046.0,3.0,1.0,2.0,696.0,118.0,1960.0,Moreland City Council,-37.6972,144.9431,Northern Metropolitan,8870.0,4741,3,9,2016,10
Glenroy,55 Daley St,3,h,610000.0,S,Walshe,13.0,3046.0,3.0,1.0,3.0,640.0,144.0,1960.0,Moreland City Council,-37.6979,144.9335,Northern Metropolitan,8870.0,4747,3,12,2016,10
Glenroy,39 Morley St,3,h,806500.0,S,Barry,13.0,3046.0,3.0,1.0,2.0,766.0,127.0,1965.0,Moreland City Council,-37.6988,144.9372,Northern Metropolitan,8870.0,4751,3,12,2016,10
Glenroy,2 Roy St,4,h,550000.0,VB,Peter,13.0,3046.0,4.0,2.0,1.0,683.0,138.0,2017.0,Moreland City Council,-37.6964,144.9314,Northern Metropolitan,8870.0,4759,4,3,2017,10
Glenroy,42 Sadie St,3,h,822000.0,S,Stockdale,13.0,3046.0,3.0,1.0,4.0,700.0,105.0,1950.0,Moreland City Council,-37.6988,144.9438,Northern Metropolitan,8870.0,4760,4,3,2017,10
Glenroy,15 Stanley St,3,h,980000.0,SP,Brad,13.0,3046.0,3.0,2.0,3.0,1029.0,136.0,1950.0,Moreland City Council,-37.7115,144.9147,Northern Metropolitan,8870.0,4762,4,3,2017,10
Glenroy,3/27 Harold St,2,u,430000.0,PI,Jason,13.0,3046.0,2.0,1.0,1.0,164.0,100.0,2010.0,Moreland City Council,-37.7072,144.9252,Northern Metropolitan,8870.0,4768,6,8,2016,10
Glenroy,1c Barwon St,2,h,540000.0,VB,Nelson,13.0,3046.0,2.0,1.0,1.0,164.0,114.0,2010.0,Moreland City Council,-37.7082,144.9178,Northern Metropolitan,8870.0,4771,7,5,2016,10
Glenroy,1 Gordon Ct,3,h,737000.0,S,Stockdale,13.0,3046.0,3.0,1.0,4.0,640.0,97.0,1950.0,Moreland City Council,-37.6986,144.9243,Northern Metropolitan,8870.0,4778,8,10,2016,10
Glenroy,24a Morell St,3,h,460000.0,SP,Raine,13.0,3046.0,3.0,2.0,2.0,224.0,3.0,1950.0,Moreland City Council,-37.702,144.9507,Northern Metropolitan,8870.0,4781,8,10,2016,10
Glenroy,3/28 Stanley St,3,t,545000.0,S,Barry,13.0,3046.0,3.0,2.0,1.0,136.0,130.0,2014.0,Moreland City Council,-37.7112,144.9142,Northern Metropolitan,8870.0,4789,10,9,2016,10
Glenroy,30 Bourchier St,3,h,670000.0,PI,Brad,13.0,3046.0,3.0,1.0,4.0,734.0,140.0,1960.0,Moreland City Council,-37.7007,144.9378,Northern Metropolitan,8870.0,4792,10,12,2016,10
Glenroy,6 Dromana St,4,h,702000.0,S,Eview,13.0,3046.0,4.0,1.0,4.0,606.0,124.0,1956.0,Moreland City Council,-37.7104,144.9088,Northern Metropolitan,8870.0,4794,10,12,2016,10
Glenroy,137 Glenroy Rd,2,h,730000.0,S,Barry,13.0,3046.0,2.0,1.0,1.0,705.0,115.0,1950.0,Moreland City Council,-37.706,144.9245,Northern Metropolitan,8870.0,4795,10,12,2016,10
Glenroy,24 Trevannion St,3,h,711500.0,S,Stockdale,13.0,3046.0,3.0,1.0,3.0,667.0,81.0,1950.0,Moreland City Council,-37.7005,144.9185,Northern Metropolitan,8870.0,4799,10,12,2016,10
Glenroy,45 Cosmos St,5,h,810000.0,S,Stockdale,13.0,3046.0,5.0,4.0,4.0,695.0,176.0,1950.0,Moreland City Council,-37.7028,144.9377,Northern Metropolitan,8870.0,4801,11,3,2017,10
Glenroy,9/11 Currajong St,2,u,250000.0,SP,Barry,13.0,3046.0,2.0,1.0,1.0,0.0,61.0,1970.0,Moreland City Council,-37.711,144.9178,Northern Metropolitan,8870.0,4805,12,11,2016,10
Glenroy,1/1 Danae St,3,t,460000.0,S,Eview,13.0,3046.0,3.0,1.0,1.0,325.0,106.0,1970.0,Moreland City Council,-37.7001,144.9291,Northern Metropolitan,8870.0,4806,12,11,2016,10
Glenroy,24 Sadie St,3,h,793000.0,S,Eview,13.0,3046.0,3.0,1.0,2.0,780.0,120.0,1960.0,Moreland City Council,-37.7,144.9427,Northern Metropolitan,8870.0,4809,12,11,2016,10
Glenroy,7/89 Station Rd,2,u,340000.0,S,Nelson,13.0,3046.0,2.0,1.0,1.0,0.0,74.0,1970.0,Moreland City Council,-37.7071,144.9176,Northern Metropolitan,8870.0,4810,12,11,2016,10
Glenroy,149 Augustine Tce,3,h,447500.0,S,Melbourne,13.0,3046.0,3.0,1.0,1.0,320.0,130.0,2000.0,Moreland City Council,-37.6949,144.9122,Northern Metropolitan,8870.0,4815,15,10,2016,10
Glenroy,45 Fran St,3,h,588000.0,S,YPA,13.0,3046.0,3.0,1.0,1.0,616.0,125.0,1960.0,Moreland City Council,-37.7029,144.9053,Northern Metropolitan,8870.0,4816,15,10,2016,10
Glenroy,1/25 Morell St,3,h,420000.0,PI,Raine,13.0,3046.0,3.0,1.0,2.0,0.0,96.0,1960.0,Moreland City Council,-37.7025,144.9504,Northern Metropolitan,8870.0,4820,15,10,2016,10
Glenroy,2/22 Sadie St,2,u,410000.0,SP,Brad,13.0,3046.0,2.0,1.0,2.0,200.0,81.0,2000.0,Moreland City Council,-37.7002,144.9428,Northern Metropolitan,8870.0,4822,15,10,2016,10
Glenroy,40 View St,3,h,525000.0,S,Brad,13.0,3046.0,3.0,1.0,1.0,665.0,85.0,1950.0,Moreland City Council,-37.6966,144.9331,Northern Metropolitan,8870.0,4827,16,4,2016,10
Glenroy,10 Anselm Gr,3,h,703000.0,S,Eview,13.0,3046.0,3.0,1.0,4.0,704.0,102.0,1960.0,Moreland City Council,-37.7021,144.9136,Northern Metropolitan,8870.0,4830,17,9,2016,10
Glenroy,1/112 Cardinal Rd,4,t,608000.0,S,Raine,13.0,3046.0,3.0,2.0,1.0,252.0,150.0,2014.0,Moreland City Council,-37.7006,144.9299,Northern Metropolitan,8870.0,4831,17,9,2016,10
Glenroy,2/36 Prospect St,4,t,607000.0,S,YPA,13.0,3046.0,4.0,3.0,2.0,0.0,131.0,2014.0,Moreland City Council,-37.7102,144.9112,Northern Metropolitan,8870.0,4840,18,3,2017,10
Glenroy,139 John St,3,h,765500.0,S,Barry,13.0,3046.0,3.0,2.0,2.0,780.0,180.0,1970.0,Moreland City Council,-37.6955,144.9389,Northern Metropolitan,8870.0,4841,18,6,2016,10
Glenroy,2/709 Pascoe Vale Rd,3,u,470000.0,SP,Barry,13.0,3046.0,3.0,1.0,2.0,187.0,99.0,2014.0,Moreland City Council,-37.7098,144.9163,Northern Metropolitan,8870.0,4849,18,6,2016,10
Glenroy,48 Everard St,3,h,580000.0,S,Barry,13.0,3046.0,3.0,1.0,2.0,650.0,142.0,1960.0,Moreland City Council,-37.7002,144.9408,Northern Metropolitan,8870.0,4853,19,11,2016,10
Glenroy,1/38 Stanley St,2,u,620250.0,S,Stockdale,13.0,3046.0,2.0,1.0,2.0,253.0,91.0,2012.0,Moreland City Council,-37.7117,144.9135,Northern Metropolitan,8870.0,4857,19,11,2016,10
Glenroy,128 Widford St,3,h,710000.0,S,Stockdale,13.0,3046.0,3.0,1.0,1.0,796.0,104.0,1960.0,Moreland City Council,-37.6955,144.9253,Northern Metropolitan,8870.0,4859,19,11,2016,10
Glenroy,54 Cromwell St,4,h,630000.0,S,Stockdale,13.0,3046.0,3.0,1.0,2.0,630.0,130.0,1960.0,Moreland City Council,-37.7002,144.9232,Northern Metropolitan,8870.0,4861,22,5,2016,10
Glenroy,106 Outlook Dr,3,h,600000.0,S,Stockdale,13.0,3046.0,3.0,1.0,4.0,541.0,139.0,1968.0,Moreland City Council,-37.7051,144.9069,Northern Metropolitan,8870.0,4864,22,5,2016,10
Glenroy,1/7 Harold St,3,t,550000.0,SP,Stockdale,13.0,3046.0,3.0,2.0,2.0,212.0,129.0,2010.0,Moreland City Council,-37.7073,144.9277,Northern Metropolitan,8870.0,4866,22,8,2016,10
Glenroy,46 Moonee Bvd,4,h,600000.0,SP,Stockdale,13.0,3046.0,4.0,1.0,2.0,586.0,159.0,1968.0,Moreland City Council,-37.6975,144.9065,Northern Metropolitan,8870.0,4870,23,4,2016,10
Glenroy,47 Cardinal Rd,4,h,1217500.0,S,Barry,13.0,3046.0,4.0,3.0,2.0,693.0,192.0,2014.0,Moreland City Council,-37.7111,144.9275,Northern Metropolitan,8870.0,4872,24,9,2016,10
Glenroy,135 Hilton St,3,h,600000.0,SP,Barry,13.0,3046.0,3.0,1.0,2.0,599.0,150.0,1960.0,Moreland City Council,-37.7009,144.9291,Northern Metropolitan,8870.0,4873,24,9,2016,10
Glenroy,29 Moonee Bvd,3,h,570000.0,PI,Barry,13.0,3046.0,3.0,2.0,2.0,585.0,146.0,1975.0,Moreland City Council,-37.6977,144.9071,Northern Metropolitan,8870.0,4876,24,9,2016,10
Glenroy,65 Farview St,3,h,762700.0,SP,Stockdale,13.0,3046.0,3.0,1.0,4.0,597.0,100.0,1960.0,Moreland City Council,-37.7097,144.9351,Northern Metropolitan,8870.0,4880,25,2,2017,10
Glenroy,3/27 Gladstone Pde,2,u,465000.0,S,YPA,13.0,3046.0,2.0,1.0,1.0,176.0,89.0,2012.0,Moreland City Council,-37.7081,144.912,Northern Metropolitan,8870.0,4881,25,2,2017,10
Glenroy,52 Glenroy Rd,2,h,741250.0,S,Barry,13.0,3046.0,2.0,1.0,1.0,668.0,88.0,1955.0,Moreland City Council,-37.7067,144.9331,Northern Metropolitan,8870.0,4882,25,2,2017,10
Glenroy,107 Glenroy Rd,4,h,1000000.0,PI,Barry,13.0,3046.0,4.0,2.0,8.0,977.0,304.0,1935.0,Moreland City Council,-37.7063,144.9273,Northern Metropolitan,8870.0,4892,27,11,2016,10
Glenroy,165 Hilton St,4,h,630000.0,S,Stockdale,13.0,3046.0,4.0,2.0,2.0,602.0,180.0,1950.0,Moreland City Council,-37.7005,144.9258,Northern Metropolitan,8870.0,4894,27,11,2016,10
Glenroy,72 Pecham St,3,h,670000.0,S,Barry,13.0,3046.0,3.0,1.0,3.0,705.0,135.0,1950.0,Moreland City Council,-37.6967,144.9116,Northern Metropolitan,8870.0,4898,27,11,2016,10
Glenroy,3/48 William St,2,h,417000.0,S,Stockdale,13.0,3046.0,2.0,1.0,1.0,172.0,77.0,2013.0,Moreland City Council,-37.7074,144.9086,Northern Metropolitan,8870.0,4899,27,11,2016,10
Glenroy,1/26 York St,3,t,600000.0,VB,Nelson,13.0,3046.0,3.0,1.0,2.0,258.0,143.0,2001.0,Moreland City Council,-37.7047,144.9087,Northern Metropolitan,8870.0,4900,27,11,2016,10
Glenroy,3/132 Widford St,3,t,440000.0,SP,Nelson,13.0,3046.0,3.0,2.0,1.0,215.0,121.0,2010.0,Moreland City Council,-37.6952,144.9256,Northern Metropolitan,8870.0,4902,28,5,2016,10
Glenroy,23 Cromwell St,3,h,660000.0,S,Barry,13.0,3046.0,3.0,1.0,2.0,657.0,116.0,1950.0,Moreland City Council,-37.7019,144.9225,Northern Metropolitan,8870.0,4904,28,8,2016,10
Glenroy,2/4 Ash Ct,2,h,270000.0,PI,Ray,13.0,3046.0,2.0,1.0,1.0,155.0,155.0,2000.0,Moreland City Council,-37.6972,144.9239,Northern Metropolitan,8870.0,4910,30,7,2016,10
Glenroy,44 Morley St,4,h,825000.0,S,Stockdale,13.0,3046.0,4.0,2.0,4.0,768.0,194.0,1970.0,Moreland City Council,-37.6979,144.9377,Northern Metropolitan,8870.0,4911,30,7,2016,10
Glenroy,33 View St,4,h,638000.0,S,Barry,13.0,3046.0,4.0,2.0,1.0,624.0,258.0,2005.0,Moreland City Council,-37.6969,144.9334,Northern Metropolitan,8870.0,4913,30,7,2016,10
Gowanbrae,1 Gowanbrae Dr,3,h,631000.0,S,Nelson,13.6,3043.0,3.0,2.0,2.0,608.0,138.0,2001.0,Moreland City Council,-37.709,144.8925,Western Metropolitan,1071.0,4914,3,9,2016,5
Gowanbrae,31 Seggan Cir,3,t,532000.0,S,Nelson,13.6,3043.0,3.0,2.0,1.0,149.0,19.0,2005.0,Moreland City Council,-37.7068,144.8963,Western Metropolitan,1071.0,4915,3,9,2016,5
Gowanbrae,41 Balerno Cir,3,h,504000.0,S,Nelson,13.6,3043.0,3.0,2.0,1.0,215.0,139.0,2004.0,Moreland City Council,-37.709,144.8964,Western Metropolitan,1071.0,4918,6,8,2016,5
Gowanbrae,39 Balerno Cir,3,t,468000.0,S,Nelson,13.6,3043.0,3.0,2.0,2.0,178.0,138.0,2000.0,Moreland City Council,-37.7087,144.8962,Western Metropolitan,1071.0,4920,7,5,2016,5
Gowanbrae,2 Mirrim Pl,4,h,802500.0,S,Nelson,13.6,3043.0,4.0,2.0,2.0,0.0,264.0,2005.0,Moreland City Council,-37.705,144.9004,Western Metropolitan,1071.0,4922,12,11,2016,5
Gowanbrae,8 Perth Ct,4,h,709000.0,PI,Nelson,13.6,3043.0,4.0,2.0,2.0,453.0,213.0,2007.0,Moreland City Council,-37.7016,144.8974,Western Metropolitan,1071.0,4923,14,5,2016,5
